,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
114,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,True,150.0,1535,16.0,462,All Levels,62.0,Business Finance
115,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,True,20.0,1027,29.0,25,All Levels,1.5,Business Finance
116,How to create a routine Trading,True,25.0,307,8.0,5,All Levels,,Business Finance
117,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",True,150.0,2096,48.0,29,All Levels,,Business Finance
118,Forex SOS Course: Trading Tweaks And Working Forex Strategy,True,50.0,1315,48.0,59,Beginner Level,2.5,Business Finance
119,Introduction to Financial Modeling,False,0.0,29167,1463.0,8,Intermediate Level,1.5,Business Finance
120,Quantitative Aptitude for Banking & Competitive Examinations,True,50.0,1056,1.0,42,All Levels,3.0,Business Finance
121,Option Spreads and Credit Spreads Bundle,True,180.0,2212,194.0,24,Expert Level,4.5,Business Finance
122,B Com Accountancy I (Paper ECO 02 IGNOU),True,50.0,2946,6.0,284,All Levels,31.5,Business Finance
123,FOREX TRADING - Learn in a quick + profitable way + support,True,100.0,271,48.0,47,All Levels,3.5,Business Finance
124,Auditing Basics (Professional Course Level),True,25.0,3771,10.0,35,All Levels,2.5,Business Finance
125,Stock market Investing Encyclopedia: How to invest in stocks,True,200.0,3143,11.0,39,Intermediate Level,3.0,Business Finance
126,Learn the basics of preparing accounting statements,True,20.0,1951,30.0,20,Intermediate Level,0.55,Business Finance
127,Elliott Wave -Forex Trading With The Elliott Wave Theory,True,90.0,4022,35.0,14,Expert Level,1.0,Business Finance
128,Corporate Finance - A Brief Introduction,False,0.0,11724,649.0,17,Beginner Level,1.5,Business Finance
129,Excel functions to analyze and visualize data,True,20.0,2283,54.0,16,Intermediate Level,2.0,Business Finance
130,Building Financial Statements in Excel,True,35.0,1181,1.0,18,Beginner Level,1.0,Business Finance
131,Transfer Pricing A Complete Analysis,True,50.0,1852,3.0,14,All Levels,2.5,Business Finance
132,Accounting: Get Hired Without Work Experience,True,100.0,4661,187.0,20,All Levels,1.0,Business Finance
133,Forex Trading for Beginners - Basics,True,50.0,989,9.0,11,All Levels,1.0,Business Finance
134,Basic Bookkeeping Hacks,True,20.0,5841,16.0,28,All Levels,1.5,Business Finance
135,Complete Trading Plan Course for Stocks & Forex (10 Hours),True,200.0,1087,14.0,61,All Levels,9.5,Business Finance
136,"Forex Trading with Fixed 'Risk through Options Trading""",True,200.0,611,4.0,26,Beginner Level,1.0,Business Finance
137,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",True,60.0,1922,149.0,15,All Levels,20.0,Business Finance
138,How to Pick The Right Penny Stocks To Invest In 2017,True,150.0,9015,65.0,23,All Levels,2.5,Business Finance
139,Top 10 Trading Ideas in the Equities Market,True,20.0,661,4.0,12,All Levels,1.0,Business Finance
140,Intro to Financial Modeling,True,105.0,1077,110.0,55,Beginner Level,6.0,Business Finance
141,Shark Accounting - Building a Business by the Numbers!,True,20.0,6050,140.0,17,Beginner Level,1.5,Business Finance
142,Forex Trading MAKE YOUR FIRST TRADE TODAY!,True,150.0,3523,46.0,45,All Levels,4.0,Business Finance
143,Accounting in 60 Minutes - A Brief Introduction,False,0.0,56659,4397.0,16,Beginner Level,1.5,Business Finance
144,SAP FICO For Beginners - A Guide to SAP Financial Accounts,True,100.0,1444,101.0,59,Beginner Level,5.0,Business Finance
145,Learn how to double your Forex Trading Account in one trade,True,60.0,2900,424.0,36,Intermediate Level,2.5,Business Finance
146,"Accounting Superpowers: Learn Accounts, Understand Business!",True,200.0,1437,96.0,34,Beginner Level,2.5,Business Finance
147,Python Algo Trading: FX Trading with Oanda,True,200.0,453,42.0,33,Intermediate Level,3.0,Business Finance
148,Save on Your Taxes,True,20.0,2437,12.0,23,All Levels,1.5,Business Finance
149,Financial Model Basics: Build a model from start to finish,True,30.0,5057,142.0,13,Beginner Level,1.0,Business Finance
150,Option Trading for Rookies: The Covered Call Option Strategy,True,95.0,6092,25.0,29,Beginner Level,1.5,Business Finance
151,EFT for Stock Options Trading Success & Making Better Trades,True,95.0,4530,13.0,31,All Levels,1.5,Business Finance
152,Learn to Trade the Stock Market without Blowing Your Profits,True,60.0,6967,16.0,34,All Levels,1.0,Business Finance
153,Get a Credit Repair Publication On Amazon and Live LIFE..,True,20.0,727,11.0,25,Beginner Level,3.0,Business Finance
154,Fundamentals of Accounting,True,20.0,1560,43.0,25,All Levels,3.0,Business Finance
155,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",True,200.0,1047,9.0,46,All Levels,3.5,Business Finance
156,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,True,125.0,1045,2.0,17,Intermediate Level,1.0,Business Finance
157,Accounting 101: How to read an Accounting Balance Sheet,True,200.0,3050,86.0,22,Beginner Level,2.0,Business Finance
158,Stock Options Day Trading Mindset for Success,True,200.0,2988,21.0,43,All Levels,4.5,Business Finance
159,Introduction to bookkeeping and Accounting,True,35.0,2623,158.0,20,Beginner Level,1.0,Business Finance
160,Learn to Trade The News,True,200.0,1924,351.0,544,All Levels,46.5,Business Finance
161,"Value Investing, Taught by Six Superinvestors",True,200.0,3804,267.0,66,All Levels,5.0,Business Finance
162,Trading for everyone - The Independent Investor Course I,True,120.0,4133,15.0,36,Beginner Level,4.0,Business Finance
163,Get Acquired: Learn From The Head Of Acquisitions For eBay,True,195.0,1420,70.0,29,All Levels,2.5,Business Finance
164,Stock Market investment: Practical Accounting,True,125.0,1120,6.0,43,Beginner Level,3.0,Business Finance
165,"How to remove 'Risk from Penny Stocks - Options Trading""",True,200.0,668,12.0,22,All Levels,1.0,Business Finance
166,Accounting Basics in 66 Minutes (absolutely for beginners),True,25.0,4086,31.0,14,All Levels,1.5,Business Finance
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",True,200.0,1033,10.0,29,All Levels,2.0,Business Finance
168,Analysis of Company Financial Statements,True,20.0,832,34.0,34,All Levels,1.5,Business Finance
169,Forex Trading Like Banks – Step by Step with Live Examples,True,195.0,677,45.0,40,All Levels,4.5,Business Finance
170,Fundamentals of Investing!,True,20.0,3125,54.0,13,Beginner Level,2.0,Business Finance
171,Bank Financial Management A Comprehensive Study,True,50.0,1081,6.0,21,All Levels,1.5,Business Finance
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,True,200.0,1645,25.0,42,All Levels,2.0,Business Finance
173,"Master 'Technical Analysis and Chart reading skills Bundle""",True,120.0,3348,352.0,13,All Levels,3.0,Business Finance
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,True,200.0,939,7.0,19,All Levels,1.5,Business Finance
175,The Ultimate Guide to Dividend & Dividend Growth Investing,True,200.0,2115,59.0,88,All Levels,5.5,Business Finance
176,Charting for Beginners 101: Technical Analysis Demystified,True,45.0,2230,102.0,10,All Levels,1.5,Business Finance
177,Build a DCF Valuation Model,True,50.0,2053,234.0,44,All Levels,5.5,Business Finance
178,Introductory Financial Accounting,True,80.0,1793,265.0,54,Beginner Level,10.0,Business Finance
179,Introduction to Cryptocurrencies and Blockchain,False,0.0,3775,138.0,11,Beginner Level,2.0,Business Finance
180,Trade Pullback Candlestick Strategy - Make Consistent Pips,True,200.0,521,67.0,24,All Levels,3.0,Business Finance
181,Accounting Standards Basics (Professional Course Level),True,20.0,2222,9.0,12,All Levels,0.7,Business Finance
182,Use the Magic Multiple Moving Average Forex Trading system,True,50.0,1097,252.0,10,Intermediate Level,1.0,Business Finance
183,QuickBooks 2015 Training for Newbies,True,200.0,2506,21.0,76,Beginner Level,6.0,Business Finance
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,True,120.0,975,23.0,23,Intermediate Level,1.0,Business Finance
185,Option Trading: How to Adjust Delta-Neutral Strangles!,True,145.0,1398,15.0,26,All Levels,1.5,Business Finance
186,Profitable binary option trading strategy,True,195.0,1096,24.0,24,All Levels,1.5,Business Finance
187,Tax Strategy: Financial Planning for Beginners,True,200.0,1703,59.0,25,All Levels,2.0,Business Finance
188,Accounting 2 Simplified for You,True,45.0,1446,23.0,27,Beginner Level,5.0,Business Finance
189,Project Funding Modelling (for Professionals),True,20.0,2736,3.0,8,All Levels,1.5,Business Finance
190,Investing: How I Consistently Beat The Stock Market,True,200.0,2000,31.0,34,All Levels,4.5,Business Finance
191,Bookkeeping Basics:  Understand the Fundamentals,True,75.0,853,45.0,48,Beginner Level,4.5,Business Finance
192,Leasing - A Comprehensive Study (Professional Course Level),True,20.0,3094,2.0,22,All Levels,3.5,Business Finance
193,Trading Options For Consistent Returns: Options Basics,False,66.1213935764834,4077,281.0,20,Beginner Level,1.5,Business Finance
194,TechniTrader Leading Hybrid Indicator Trading,True,20.0,4117,54.0,5,Intermediate Level,1.0,Business Finance
195,Financial modeling: Build a DCF equity valuation model,True,20.0,1369,17.0,31,All Levels,1.5,Business Finance
196,CryptoArbitrager: Bitcoin Trading Robot (no mining),True,150.0,1224,42.0,14,All Levels,0.55,Business Finance
197,Accounting Is Easy (for Beginners),True,20.0,3870,12.0,90,All Levels,9.0,Business Finance
198,Non Directional Weekly Options Trading System - ETF & Emini,True,200.0,897,22.0,21,All Levels,2.0,Business Finance
199,The Complete Position Trading Course: Position Trading Stock,True,45.0,1311,36.0,5,All Levels,1.0,Business Finance
200,Master Iron Condors - Double the credit for half the risk,True,60.0,1338,139.0,7,Expert Level,1.0,Business Finance
201,Basics of investing in Mutual Funds,True,20.0,1589,26.0,42,Intermediate Level,1.5,Business Finance
202,A Value Investing Approach to the Stock Market,True,20.0,1189,12.0,15,All Levels,1.5,Business Finance
203,Learn how to INVEST for huge profits or make it big trading!,True,50.0,701,12.0,37,All Levels,5.5,Business Finance
204,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",True,50.0,1105,3.0,54,Intermediate Level,6.0,Business Finance
205,Mastering Candlestick Charting : High Probability Trading,True,50.0,123,16.0,35,All Levels,2.0,Business Finance
206,Binary Options Course - Level 2,False,0.0,5874,207.0,9,Intermediate Level,2.0,Business Finance
207,Stock Technical Analysis with R,True,50.0,354,32.0,49,All Levels,7.0,Business Finance
208,"Get to know the VIX Index (aka 'The Fear Index)""",True,60.0,727,64.0,9,All Levels,1.0,Business Finance
209,Apply finance concepts for smart project management,False,0.0,3465,161.0,24,Beginner Level,2.0,Business Finance
210,Introduction to Futures Trading and Live Trade Demonstration,True,60.0,54,4.0,6,Expert Level,0.716666667,Business Finance
211,Crowdfunding to Win,True,40.0,627,15.0,15,All Levels,1.5,Business Finance
212,Comprehensive Forex Mastery Program,True,45.0,650,107.0,97,All Levels,10.0,Business Finance
213,Preparation of Consolidated Financial Statements (Basic),False,0.0,965,0.0,18,Intermediate Level,1.5,Business Finance
214,Succeed in Bonds Even if You Don't Know Where to Start,True,200.0,1113,6.0,8,All Levels,1.0,Business Finance
215,Learn to Trade for Profit: Ten Most Profitable Trading Rules,True,95.0,739,28.0,45,All Levels,2.0,Business Finance
216,Succeed in Lotto Even if You Don't Know Where to Start!,True,20.0,1201,12.0,18,All Levels,1.5,Business Finance
217,CFA Corporate Finance Level 2,True,50.0,2474,6.0,128,All Levels,17.5,Business Finance
218,Pin Bars: The Most Powerful Forex Trading Signal,True,200.0,494,16.0,19,All Levels,1.0,Business Finance
219,Stock Options Trades Using Interactive Brokers,True,95.0,1580,26.0,14,Intermediate Level,1.0,Business Finance
220,Introduction to Options - Strategies For Consistent Profits,True,40.0,617,44.0,55,All Levels,4.5,Business Finance
221,Risk in Forex Transactions - for CA / CS / CFA exams,True,20.0,2235,3.0,9,All Levels,1.0,Business Finance
222,Basics of Business Statistics (College Level),True,20.0,2293,9.0,28,All Levels,2.0,Business Finance
223,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",True,200.0,1094,8.0,13,Beginner Level,2.0,Business Finance
224,Interpreting Financial Statements,True,20.0,1449,29.0,23,Beginner Level,1.5,Business Finance
225,Introduction to Bookkeeping (Accounting),True,20.0,3251,10.0,59,Beginner Level,12.0,Business Finance
226,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,True,60.0,607,55.0,16,Intermediate Level,2.0,Business Finance
227,Investment Banking: How to Land a Job on Wall Street,True,75.0,1218,30.0,63,All Levels,3.5,Business Finance
228,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,True,20.0,1132,33.0,18,All Levels,1.0,Business Finance
229,Financial modeling: Build a multiples valuation model,True,20.0,656,17.0,20,All Levels,1.5,Business Finance
230,Trade Recap I - A Real Look at Futures Options Markets,True,20.0,3339,4.0,11,Beginner Level,1.5,Business Finance
231,Advanced Stock Options for Serious Equity Investors!,True,200.0,1271,23.0,7,Expert Level,1.5,Business Finance
232,Trading Binary Options for Fun and Profit,True,20.0,1574,24.0,46,All Levels,2.0,Business Finance
233,CFA: Fast Track your career in Finance,True,20.0,1393,27.0,21,Beginner Level,2.0,Business Finance
234,How to be a Profitable Forex Trader,True,20.0,1029,13.0,7,All Levels,,Business Finance
235,Excel Dashboard - Interactive Excel Dashboard and Charts,True,30.0,843,54.0,34,All Levels,3.0,Business Finance
236,Accounting 101: Learn Business Finance Forecasting in 60mins,True,95.0,1730,12.0,12,All Levels,1.5,Business Finance
237,The Securities Trade Lifecycle,True,50.0,1182,110.0,22,All Levels,4.0,Business Finance
238,Double your Forex Account using the MAGIC MA trading robot,True,65.0,1160,117.0,24,Intermediate Level,2.5,Business Finance
239,Technical Analysis 101: How to Profit During Market Crashes,True,95.0,1730,18.0,53,All Levels,2.0,Business Finance
240,Advanced Accounting for Investment Banking,True,50.0,1260,80.0,38,Intermediate Level,4.0,Business Finance
241,Investing In Stocks With 10 Simple Rules,True,95.0,871,79.0,59,All Levels,2.0,Business Finance
242,Venture Capital. What is it and Why it Matters to You!,True,50.0,1566,48.0,25,All Levels,2.5,Business Finance
243,Cash Flow Valuation: Develop Your Financial Literacy,True,105.0,2987,23.0,19,All Levels,2.0,Business Finance
244,Direction-Independ Trading - Elite Forex Traders  Strategy,True,120.0,973,15.0,28,All Levels,2.5,Business Finance
245,How to Become a Financial Analyst from Scratch!,True,40.0,2177,31.0,38,Beginner Level,5.0,Business Finance
246,First Steps to Trading the Forexmarkets : Technical Analysis,True,35.0,1772,19.0,15,Beginner Level,3.5,Business Finance
247,Financial analysis: Compare performance of companies,True,20.0,1850,40.0,20,All Levels,1.0,Business Finance
248,Forex for Beginners: Easy Forex Trading for Beginners,False,0.0,1780,32.0,9,Beginner Level,1.0,Business Finance
249,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),False,0.0,4607,181.0,11,Beginner Level,0.533333333,Business Finance
250,Read financial statements like a pro,True,50.0,12,1.0,38,Intermediate Level,4.0,Business Finance
251,10 Numbers Every Business Owner Should Know,True,20.0,13,1.0,9,All Levels,1.0,Business Finance
252,Learn How To Trade Gold In 2017,True,200.0,2,1.0,16,All Levels,1.0,Business Finance
253,IAS 18 - Revenue,False,0.0,2571,32.0,23,All Levels,4.5,Business Finance
254,Forex Trading: The High ROI Forex Trading End of Day Course,True,125.0,8,1.0,19,Intermediate Level,2.5,Business Finance
255,Fundraise the Simplified Way: A Crowdfunding Blueprint,True,35.0,7,1.0,19,All Levels,1.0,Business Finance
256,Fundamentals of Accounting for Business Owners,True,20.0,217,0.0,47,Beginner Level,2.5,Business Finance
257,Practical Financial Statement Analysis,True,75.0,22,5.0,45,All Levels,4.5,Business Finance
258,Forex Management - Detailed Study for CA / CS / CFA Exams,True,50.0,131,2.0,38,All Levels,3.0,Business Finance
259,Financial Statement Review 101:  How to Find Errors,True,30.0,5,2.0,15,Beginner Level,2.0,Business Finance
260,Professional Risk Manager (PRM) Certification: Level 1,True,50.0,116,10.0,51,All Levels,24.0,Business Finance
261,International Tax  - Tax Beyond boundaries,True,100.0,27,6.0,235,All Levels,19.5,Business Finance
262,The Complete Financial Statement Analysis Course,True,150.0,912,12.0,37,Beginner Level,3.0,Business Finance
263,Advanced Excel functions,True,20.0,1964,47.0,15,All Levels,1.5,Business Finance
264,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),True,200.0,1033,2.0,31,Beginner Level,1.5,Business Finance
265,Candlestick Analysis For Professional Traders,True,95.0,913,117.0,48,Expert Level,2.0,Business Finance
266,Build A Career In Forex Trading- Learn Fundamental Analysis,True,200.0,2092,77.0,52,All Levels,3.5,Business Finance
267,Financial Modeling: Build a Complete DCF Valuation Model,True,95.0,2240,185.0,44,All Levels,2.5,Business Finance
268,Hands-on Financial Modeling (With 6 Excel Templates),True,30.0,4601,38.0,14,Intermediate Level,4.0,Business Finance
269,CAIIB Advanced Bank Management (Part I),True,25.0,2953,20.0,211,All Levels,20.5,Business Finance
270,Stock Market investment:Non financial fundamental analysis,True,125.0,1091,4.0,29,Beginner Level,3.0,Business Finance
271,Learn How to Play CashFlow Game,True,35.0,1459,11.0,26,Beginner Level,1.0,Business Finance
272,Basics of Business Finance,True,30.0,4855,64.0,24,Beginner Level,4.0,Business Finance
273,Accounting Made Easy 2,True,50.0,4034,8.0,40,Intermediate Level,3.0,Business Finance
274,"Bitcoin: el futuro del dinero, hoy",True,200.0,57,22.0,19,Intermediate Level,3.0,Business Finance
275,Aprende a invertir practicando,True,35.0,26,9.0,42,All Levels,2.0,Business Finance
276,Trading con retrocesos de Fibonacci,True,25.0,14,4.0,15,All Levels,2.5,Business Finance
277,Mit Finanzwissen zu besserem Unternehmertum,True,50.0,49,3.0,23,Beginner Level,3.0,Business Finance
278,Como hacer empresa en 10 sesiones prácticas,True,20.0,11,2.0,10,Intermediate Level,0.5,Business Finance
279,المحاسبة للإداريين و غير المحاسبين,True,20.0,9,3.0,17,Beginner Level,0.716666667,Business Finance
280,株式投資で本当のファンダメンタル分析ができるようになる,True,20.0,91,7.0,30,All Levels,2.0,Business Finance
281,Curso de Trading práctico basado en casos reales,True,20.0,44,6.0,55,All Levels,10.0,Business Finance
282,Curso Avanzado de Trading,True,125.0,106,11.0,100,All Levels,20.5,Business Finance
283,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,False,0.0,2079,258.0,25,All Levels,2.0,Business Finance
284,MQL4 Tutorial Golden Goose,True,20.0,135,5.0,12,Beginner Level,1.5,Business Finance
285,Análise de Concessão de Crédito,True,20.0,31,11.0,20,All Levels,10.5,Business Finance
286,Technical Analysis Using Elliott Wave Theory,True,60.0,217,7.0,16,All Levels,1.0,Business Finance
287,The Basics Of Volume Analysis,True,60.0,611,57.0,13,All Levels,1.5,Business Finance
288,Crash Course on Cost of Capital and Capital Structuring,False,0.0,5007,41.0,19,All Levels,3.0,Business Finance
289,Business Accounting Made Easy,True,50.0,1168,5.0,26,Beginner Level,5.5,Business Finance
290,Build a DCF Model from Scratch,False,0.0,4653,395.0,5,All Levels,0.5166666670000001,Business Finance
291,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",False,0.0,3035,12.0,14,All Levels,1.5,Business Finance
292,Technical Analysis - A practical approach for trade entry,True,60.0,454,52.0,15,Expert Level,2.0,Business Finance
293,Mastering Technical Analysis : Maximizing Trading Profits,True,60.0,325,14.0,62,All Levels,5.0,Business Finance
294,The Complete Guide to Professional Trading with Elliott Wave,True,115.0,228,49.0,43,All Levels,4.5,Business Finance
295,A Complete Guide to Becoming a Trader on the Forex Market,True,25.0,562,11.0,15,All Levels,1.0,Business Finance
296,Stock Market for Beginners - Complete Starter Toolkit,True,120.0,577,45.0,82,Intermediate Level,6.5,Business Finance
297,Beginners Binary Options Course,False,0.0,10540,799.0,14,Beginner Level,1.5,Business Finance
298,Technical Analysis 101: Secrets of Trading Revealed,True,150.0,912,27.0,81,All Levels,2.5,Business Finance
299,Forex: What's a Trend and When it is Strong and Reliable,False,0.0,2955,43.0,30,Intermediate Level,2.0,Business Finance
300,Volatility Trading Analysis with R,True,50.0,190,13.0,45,Expert Level,6.0,Business Finance
301,How To Profit From Stock Market Volatility,False,0.0,1736,36.0,11,All Levels,0.6,Business Finance
302,Awaken the Accountant in You | Master the Accounting Basics,True,35.0,1135,10.0,16,Beginner Level,1.5,Business Finance
303,WE WILL PAY YOU TO TRADE WITH US,True,20.0,2101,51.0,11,All Levels,2.0,Business Finance
304,Situational Trading: Proven Option Strategy for any Scenario,True,200.0,1048,11.0,16,All Levels,1.5,Business Finance
305,Portfolio Management for CA / CS / CFA exams,True,20.0,1740,5.0,8,All Levels,1.0,Business Finance
306,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),True,20.0,1749,41.0,21,All Levels,1.0,Business Finance
307,Finding an Unlimited Amount of Investors,True,80.0,1187,6.0,6,All Levels,0.7,Business Finance
308,Bookkeeping Made Easy,True,70.0,1263,21.0,18,Beginner Level,1.5,Business Finance
309,BITCOIN VISUALLY. Part I.,True,50.0,115,6.0,31,Beginner Level,4.0,Business Finance
310,Learn and Master the Basics of Finance,True,20.0,43,17.0,39,Beginner Level,3.0,Business Finance
311,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,True,75.0,55,2.0,27,All Levels,5.5,Business Finance
312,Mastering the Market : (Technical Analysis + Candlestick),True,90.0,18,7.0,97,All Levels,7.0,Business Finance
